room,instance_state,instance_count
iad1.1,Disabled,55
iad1.1,Running,3302
iad1.1,Stopped,382
iad1.1,Terminated,5592
iad1.1,Terminating,1
iad1.2,Disabled,82
iad1.2,Provisioning,2
iad1.2,Running,13519
iad1.2,Starting,1
iad1.2,Stopped,1027
iad1.2,Terminated,26446
iad1.2,Terminating,3
iad1.3,Disabled,213
iad1.3,Provisioning,3
iad1.3,Running,15522
iad1.3,Stopped,1390
iad1.3,Stopping,1
iad1.3,Terminated,32398
iad1.3,Terminating,5
iad1.4,Disabled,76
iad1.4,Provisioning,2
iad1.4,Running,9070
iad1.4,Stopped,717
iad1.4,Terminated,19378
iad1.4,Terminating,6
iad10.1,Disabled,64
iad10.1,Running,9236
iad10.1,Starting,1
iad10.1,Stopped,753
iad10.1,Stopping,1
iad10.1,Terminated,7824
iad10.1,Terminating,1
iad10.2,Disabled,147
iad10.2,Provisioning,1
iad10.2,Running,14193
iad10.2,Snapshotting,1
iad10.2,Starting,3
iad10.2,Stopped,1842
iad10.2,Terminated,16955
iad10.2,Terminating,3
iad10.3,Disabled,177
iad10.3,Provisioning,1
iad10.3,Running,9309
iad10.3,Starting,5
iad10.3,Stopped,565
iad10.3,Terminated,22356
iad10.3,Terminating,2
iad10.4,Disabled,13
iad10.4,Provisioning,3
iad10.4,Running,3910
iad10.4,Starting,1
iad10.4,Stopped,179
iad10.4,Terminated,24521
iad10.4,Terminating,4
iad10.5,Disabled,3
iad10.5,Provisioning,2
iad10.5,Running,8807
iad10.5,Stopped,289
iad10.5,Terminated,25759
iad10.5,Terminating,9
iad10.6,Disabled,51
iad10.6,Provisioning,1
iad10.6,Running,14463
iad10.6,Snapshotting,1
iad10.6,Starting,1
iad10.6,Stopped,534
iad10.6,Terminated,38275
iad10.6,Terminating,12
iad101.1,Running,668
iad101.1,Terminated,40
iad101.2,Running,507
iad101.2,Stopping,1
iad101.2,Terminated,36
iad11.1,Running,7913
iad11.1,Stopped,16
iad11.1,Stopping,1
iad11.1,Terminated,42
iad11.2,Running,8133
iad11.2,Starting,1
iad11.2,Stopped,8
iad11.2,Terminated,37
iad11.3,Disabled,3
iad11.3,Running,6300
iad11.3,Starting,3
iad11.3,Stopped,17
iad11.3,Terminated,23
iad11.4,Disabled,1
iad11.4,Running,7404
iad11.4,Starting,2
iad11.4,Stopped,6
iad11.4,Terminated,38
iad11.5,Disabled,4
iad11.5,Running,6534
iad11.5,Stopped,5
iad11.5,Stopping,2
iad11.5,Terminated,39
iad11.6,Running,1538
iad11.6,Stopped,2
iad12.1,Running,3457
iad12.1,Starting,2
iad12.1,Stopped,28
iad12.1,Stopping,2
iad12.1,Terminated,3
iad12.10,Disabled,1
iad12.10,Running,4877
iad12.10,Starting,4
iad12.10,Stopped,37
iad12.10,Stopping,1
iad12.10,Terminated,80
iad12.10,Terminating,1
iad12.11,Running,4283
iad12.11,Starting,6
iad12.11,Stopped,12
iad12.11,Stopping,1
iad12.11,Terminated,200
iad12.2,Running,5996
iad12.2,Stopped,24
iad12.2,Terminated,56
iad12.3,Running,3231
iad12.3,Stopped,22
iad12.3,Stopping,2
iad12.3,Terminated,11
iad12.4,Running,4061
iad12.4,Stopped,30
iad12.4,Stopping,2
iad12.4,Terminated,18
iad12.5,Running,4263
iad12.5,Starting,1
iad12.5,Stopped,16
iad12.5,Stopping,2
iad12.5,Terminated,24
iad12.6,Running,5468
iad12.6,Starting,5
iad12.6,Stopped,22
iad12.6,Stopping,3
iad12.6,Terminated,5
iad12.7,Running,4557
iad12.7,Starting,1
iad12.7,Stopped,33
iad12.7,Stopping,1
iad12.7,Terminated,6
iad12.8,Running,4347
iad12.8,Starting,5
iad12.8,Stopped,32
iad12.8,Stopping,2
iad12.8,Terminated,6
iad12.9,Running,4867
iad12.9,Starting,3
iad12.9,Stopped,39
iad12.9,Stopping,8
iad12.9,Terminated,4
iad13.1,Disabled,881
iad13.1,Provisioning,2
iad13.1,Running,50469
iad13.1,Starting,3
iad13.1,Stopped,5367
iad13.1,Terminated,90750
iad13.1,Terminating,11
iad15.1,Disabled,387
iad15.1,Provisioning,12
iad15.1,Running,27625
iad15.1,Starting,2
iad15.1,Stopped,2641
iad15.1,Suspended,1
iad15.1,Terminated,137685
iad15.1,Terminating,30
iad16.1,Running,515
iad16.1,Stopped,4
iad16.2,Disabled,195
iad16.2,Provisioning,2
iad16.2,Running,53176
iad16.2,Starting,4
iad16.2,Stopped,3385
iad16.2,Stopping,8
iad16.2,Terminated,110475
iad16.2,Terminating,7
iad17.1,Running,4424
iad17.1,Starting,5
iad17.1,Stopped,10
iad17.1,Stopping,3
iad17.1,Terminated,85
iad18.1,Running,5323
iad18.1,Starting,5
iad18.1,Stopped,4
iad18.1,Stopping,2
iad18.1,Terminated,6
iad18.2,Running,5447
iad18.2,Starting,1
iad18.2,Stopped,2
iad18.2,Terminated,10
iad18.3,Running,4192
iad18.3,Starting,7
iad18.3,Stopped,3
iad18.3,Terminated,9
iad19.1,Running,2666
iad19.1,Starting,3
iad19.1,Stopped,5
iad19.1,Terminated,4
iad19.2,Disabled,1
iad19.2,Running,2064
iad19.2,Stopped,12
iad19.2,Stopping,2
iad19.2,Terminated,2152
iad19.2,Terminating,1
iad19.3,Running,2259
iad19.3,Starting,2
iad19.3,Stopped,6
iad19.3,Terminated,37
iad2.1,Disabled,116
iad2.1,Provisioning,13
iad2.1,Running,23886
iad2.1,Stopped,1686
iad2.1,Terminated,132998
iad2.1,Terminating,30
iad2.3,Disabled,37
iad2.3,Provisioning,1
iad2.3,Running,7895
iad2.3,Stopped,333
iad2.3,Terminated,30600
iad2.3,Terminating,5
iad21.1,Disabled,4
iad21.1,Running,5603
iad21.1,Starting,28
iad21.1,Stopped,26
iad21.1,Stopping,3
iad21.1,Terminated,3852
iad21.1,Terminating,2
iad21.2,Running,6069
iad21.2,Starting,7
iad21.2,Stopped,4
iad21.2,Stopping,1
iad21.2,Terminated,5
iad22.1,Running,553
iad22.2,Running,1195
iad22.2,Starting,1
iad22.2,Stopped,7
iad22.2,Terminated,9
iad22.3,Running,411
iad22.3,Stopped,1
iad22.3,Terminated,1
iad23.1,Disabled,33
iad23.1,Provisioning,2
iad23.1,Running,4248
iad23.1,Stopped,314
iad23.1,Terminated,16593
iad23.1,Terminating,1
iad23.2,Disabled,43
iad23.2,Provisioning,2
iad23.2,Running,1931
iad23.2,Stopped,123
iad23.2,Terminated,4478
iad23.2,Terminating,1
iad23.3,Disabled,79
iad23.3,Provisioning,4
iad23.3,Running,6331
iad23.3,Starting,3
iad23.3,Stopped,398
iad23.3,Stopping,1
iad23.3,Terminated,15289
iad23.3,Terminating,5
iad23.4,Disabled,4
iad23.4,Provisioning,1
iad23.4,Running,6501
iad23.4,Stopped,83
iad23.4,Terminated,7812
iad23.4,Terminating,1
iad24.1,Running,588
iad24.1,Stopped,1
iad24.1,Terminated,2
iad24.2,Running,424
iad24.2,Starting,1
iad24.2,Stopped,1
iad24.2,Terminated,2
iad24.3,Running,404
iad24.3,Stopped,4
iad24.3,Terminated,1
iad25.1,Disabled,145
iad25.1,Running,12773
iad25.1,Stopped,1170
iad25.1,Stopping,1
iad25.1,Terminated,21929
iad25.1,Terminating,1
iad26.1,Disabled,220
