room,host_count
iad12.4,3854
iad31.10,64
iad44.3,1402
iad22.1,558
iad26.2,256
iad11.6,1504
iad61.7,2552
ord7.5,2828
iad34.5,747
iad48.3,3069
iad18.3,4223
iad15.1,2176
iad34.3,1027
iad26.1,2121
iad61.2,2749
iad68.1,4100
iad24.2,432
iad40.1,1297
phx1.4,1862
iad45.2,858
phx14.4,2203
iad26.3,1083
iad16.1,412
iad31.9,2515
ord3.1,918
iad64.4,4305
ord6.5,1743
iad61.5,3224
phx15.4,1940
iad11.1,6339
iad68.2,6313
iad23.3,1104
iad31.3,2855
iad21.2,4713
iad11.2,5908
iad30.3,669
phx15.3,1411
iad27.3,393
iad50.2,7523
ord18.1,24
iad10.1,927
iad24.1,594
,40
iad63.1,1120
iad41.1,1124
ord15.2,1032
ord4.1,1291
iad23.4,2484
iad10.4,307
ord8.1,256
iad77.3,6486
iad34.7,104
phx30.1,24
iad32.1,921
iad101.2,530
iad31.11,320
iad45.1,324
iad32.7,572
iad34.1,476
iad61.4,346
iad42.1,4721
iad30.2,2871
iad68.3,4655
iad11.4,7297
iad64.1,3885
ord6.7,252
iad84.2,4641
iad10.3,660
phx8.3,5096
iad34.4,1080
iad50.1,3799
iad8.2,3114
iad77.2,5784
iad12.10,5010
iad19.1,2169
iad52.1,24
ord15.1,699
iad31.8,2868
ord7.1,3492
iad31.7,1432
ord6.3,1584
iad64.3,2009
iad64.2,5273
iad32.6,918
ord15.3,887
iad48.2,5230
ord9.1,2850
iad11.3,5838
iad10.2,1657
iad33.1,581
phx15.1,1187
iad9.2,1323
iad78.2,995
iad28.1,4376
iad70.2,24
ord6.4,1982
iad72.2,24
iad21.1,5003
iad78.1,1705
iad19.3,2269
iad42.2,5053
iad84.1,2528
iad16.2,9923
iad68.4,5481
iad48.1,3427
iad10.6,839
iad12.6,4953
iad85.1,24
iad1.4,1954
iad25.1,1663
iad62.1,24
iad12.11,3961
phx14.1,3258
iad19.2,1747
iad101.1,673
iad48.4,2295
iad61.3,2825
iad49.1,2370
iad12.9,3777
iad30.4,2098
iad31.4,2855
phx15.2,2017
iad11.5,6516
phx1.1,535
iad30.1,1152
ord7.3,2635
iad23.2,334
iad32.3,2675
iad2.3,1042
iad10.5,390
iad9.3,508
iad12.7,4429
ord19.1,4081
iad44.1,1525
iad34.6,118
ord9.2,4725
iad12.8,3443
phx14.2,3358
iad69.1,24
iad18.2,4942
ord6.6,3238
iad6.2,453
iad31.2,510
iad77.1,4710
iad60.1,3533
iad22.2,1224
ord7.2,7266
iad12.2,4460
iad1.2,2201
ord17.1,24
iad45.4,818
iad31.6,462
iad27.2,503
phx8.2,2183
iad17.1,4233
iad31.5,3569
iad23.1,853
iad3.1,7019
iad49.3,3454
phx14.3,960
ord6.1,3210
iad44.4,150
iad1.1,799
iad31.15,969
ord9.3,1781
iad18.1,5065
iad9.1,996
iad34.9,344
iad24.3,414
ord6.2,7327
iad53.1,24
iad13.1,5100
iad12.3,2914
iad63.3,860
iad7.1,4479
iad46.2,6334
iad8.1,3165
iad32.2,1323
iad6.3,1705
phx8.1,4148
iad84.3,2731
phx1.2,4230
iad6.1,3334
iad27.4,183
iad12.5,3822
iad63.2,767
ord7.4,1470
iad8.3,1926
iad61.6,2266
iad2.1,3962
iad1.3,2048
ord15.4,136
iad45.3,848
iad44.2,256
iad22.3,414
phx23.1,3674
iad29.1,3106
iad49.2,1569
iad46.1,1650
phx8.4,4342
iad12.1,2976
ams3.2,1509
fra5.1,1468
jed2.2,1144
syd4.2,448
aga5.1,3261
gru4.2,1112
lhr7.2,1434
nrt9.1,24
gru1.1,880
dfw19.1,24
aga1.1,3925
syd15.1,256
fra1.3,244
lhr15.1,24
fra13.1,260
fyv3.2,198
fyv4.4,246
fra15.4,128
lhr3.2,1404
phx6.4,900
fra10.2,630
fyv4.8,233
fra11.1,2769
lhr1.3,660
phx10.1,2931
phx13.4,386
syd20.8,631
ams3.1,1742
ams16.1,24
fyv4.7,256
lhr26.1,24
nrt6.7,179
fra2.5,144
fra2.2,432
nrt1.1,992
fra3.3,548
phx6.3,1447
nrt6.5,178
fra9.1,759
ord16.2,319
syd1.1,3390
lhr8.7,829
gru1.3,1480
lhr3.1,951
bom3.1,1352
syd20.5,841
nrt4.2,185
dfw4.1,1536
nrt6.2,178
lhr2.1,850
lhr7.1,1047
fyv3.6,642
phx6.1,1675
gru15.1,24
ams4.1,1034
fyv4.6,254
ams4.5,256
lhr6.1,895
gru4.4,360
lhr10.1,1414
fra17.1,24
bom18.1,24
gru4.3,128
syd6.1,24
aga4.2,1720
jed2.5,72
syd20.6,728
syd4.1,957
nrt6.4,178
fyv3.8,641
nrt3.1,2190
ord24.1,24
fra2.1,461
fra13.2,273
fra15.8,435
lhr8.2,179
lhr2.5,186
fra1.5,212
nrt6.6,178
lhr1.2,521
aga4.1,2881
lhr8.3,1012
jed1.1,1419
fyv4.5,247
fra15.7,128
fra3.1,519
fyv3.9,640
fra7.1,1291
nrt5.1,1017
gru1.2,792
phx9.1,2798
syd4.6,290
ams4.4,254
fra10.3,1192
fra5.2,1789
ams17.1,24
lhr8.1,174
fra15.1,99
fra16.1,24
jed2.1,633
lhr6.2,1192
lhr2.2,945
fra6.2,1259
fra3.4,863
fra15.2,128
syd20.4,987
syd4.5,166
fra1.1,292
nrt6.9,178
fra15.5,620
ams4.2,518
lhr9.2,1435
lhr16.1,24
bom1.2,775
syd20.1,973
syd20.3,1049
bom3.3,294
lhr9.1,1811
gru3.1,497
fra10.1,1497
lhr7.3,1288
lhr18.2,662
dfw5.1,4305
phx3.3,2141
syd7.1,24
bom15.1,24
fra3.2,988
syd4.4,400
fra22.1,24
syd1.123,2050
fra15.6,128
phx7.1,5338
syd4.3,443
fra15.3,128
jed2.4,653
fyv3.10,568
fyv4.9,176
phx28.1,24
phx13.1,2099
phx13.2,512
syd15.3,176
phx5.1,4288
fra18.1,24
fra6.1,1218
fyv4.2,251
jed1.2,1699
phx6.8,1150
nrt4.1,163
ord16.3,881
syd20.7,704
ams4.3,320
dfw20.1,24
bom3.2,1819
phx6.5,2267
ord5.1,1199
nrt1.2,1270
nrt15.1,24
lhr1.1,1341
fyv3.7,645
fyv3.3,574
phx19.1,3715
gru4.1,1973
fyv3.5,636
lhr7.4,443
fra6.3,1521
lhr18.1,652
phx6.2,1159
fra24.1,24
fra2.4,524
fra2.3,2955
syd1.5,223
fra1.4,429
fyv4.3,250
dfw14.1,195
fyv3.4,637
bom16.1,24
bom1.1,1806
nrt8.1,24
jed2.3,324
phx3.1,1952
gru5.1,418
phx2.1,1104
ord16.1,529
phx35.1,680
nrt6.8,178
ams3.3,1718
nrt6.3,178
phx9.2,510
phx6.6,1786
phx4.1,3746
lhr8.4,553
nrt3.2,1452
phx6.7,1132
nrt6.1,304
lhr14.1,24
aga6.1,24
aga10.1,34
ord5.2,8671
syd19.1,24
fra1.2,334
ams4.6,1491
hsg3.12,361
ruh1.1,536
yyz1.1,901
yyz4.1,24
lin15.1,24
sjc3.6,108
mad1.1,1165
mad1.7,293
mel4.1,255
icn3.1,735
cwl1.4,796
zrh16.1,24
mad16.1,24
lin1.1,1563
icn3.2,437
ruh1.2,568
cwl16.4,126
hsg3.9,342
ar16.1,24
cdg5.2,193
kix15.1,24
cwl15.3,15
hyd1.2,1245
vcp1.3,476
mtz1.1,1490
hsg3.1,1018
cwl15.7,64
auh1.1,1432
yny1.1,913
kix17.1,48
yyz1.3,2465
kix1.1,2401
yul1.4,57
yul16.1,24
cdg4.1,24
hsg3.4,341
cwl15.11,64
yul1.2,866
yny1.2,715
