ssdi$region,count(room)
us-chicago-1,67354
us-phoenix-1,86168
us-ashburn-1,378284
uk-london-1,21974
us-dallas-1,6084
me-jeddah-1,5944
ap-kulai-1,7094
ap-sydney-1,14784
sa-saopaulo-1,7664
eu-amsterdam-1,8890
eu-frankfurt-1,26785
ap-tokyo-1,9070
ap-mumbai-1,6118
us-saltlake-2,11845
eu-madrid-1,1933
eu-milan-1,1758
me-abudhabi-1,1581
ap-chuncheon-1,1628
ap-batam-1,5056
me-riyadh-1,1666
ca-montreal-1,2672
eu-paris-1,2097
ap-hyderabad-1,3326
ap-seoul-1,2576
us-sanjose-1,4619
uk-cardiff-1,3691
ap-melbourne-1,4364
me-dubai-1,3062
ap-singapore-1,2645
ap-osaka-1,5281
sa-santiago-1,1648
il-jerusalem-1,1490
eu-stockholm-1,1437
eu-zurich-1,1482
sa-vinhedo-1,3198
ca-toronto-1,4888
eu-turin-1,252
mx-monterrey-1,952
us-lenexa-1,198
ap-delhi-1,221
us-desmoines-1,167
mx-queretaro-1,1091
us-columbus-1,197
ap-chennai-1,222
ap-kulai-2,198
sa-valparaiso-1,654
us-quincy-1,245
eu-madrid-3,229
sa-bogota-1,671
ap-singapore-2,604
us-shawnee-1,703
eu-marseille-1,1152
sa-riodejaneiro-2,222
af-casablanca-1,327
us-boardman-1,197
af-johannesburg-1,1029
eu-dublin-3,246
us-abilene-1,463
