ssdi$region,count(DISTINCT room)
eu-turin-1,1
us-chicago-1,31
eu-madrid-1,8
us-phoenix-1,40
mx-monterrey-1,2
uk-london-1,28
us-dallas-1,5
us-lenexa-1,1
me-jeddah-1,7
ap-kulai-1,17
ap-sydney-1,21
sa-saopaulo-1,10
ap-delhi-1,2
eu-milan-1,6
eu-amsterdam-1,11
ap-chuncheon-1,2
me-abudhabi-1,3
eu-frankfurt-1,40
ap-batam-1,13
me-riyadh-1,4
ca-montreal-1,6
us-desmoines-1,2
mx-queretaro-1,1
eu-paris-1,7
us-columbus-1,1
ap-tokyo-1,19
ap-chennai-1,2
ap-hyderabad-1,3
ap-seoul-1,3
us-sanjose-1,9
ap-mumbai-1,8
ap-kulai-2,1
us-quincy-1,3
sa-valparaiso-1,1
us-saltlake-2,6
eu-madrid-3,1
sa-bogota-1,2
ap-singapore-2,3
us-shawnee-1,2
uk-cardiff-1,21
eu-marseille-1,4
ap-melbourne-1,8
me-dubai-1,5
sa-riodejaneiro-2,2
af-casablanca-1,1
ap-singapore-1,6
us-boardman-1,1
us-ashburn-1,158
af-johannesburg-1,1
eu-dublin-3,3
ap-osaka-1,8
us-abilene-1,4
sa-santiago-1,2
il-jerusalem-1,1
eu-stockholm-1,3
eu-zurich-1,3
sa-vinhedo-1,5
ca-toronto-1,6
